No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字７,数字Ｂ１,数字Ｂ２,１等口数,２等口数,３等口数,４等口数,５等口数,６等口数,１等金額,２等金額,３等金額,４等金額,５等金額,６等金額,キャリーオーバー,販売実績
1,2013/04/05,07,10,12,17,23,28,34,03,15,1,24,168,8254,115022,189593,301716500,4144600,828900,9800,1700,900,0,2194449900
2,2013/04/12,20,24,29,31,33,34,35,12,32,0,3,63,3631,67155,122990,0,27968500,1864500,18900,2500,1200,247506600,1851060000
3,2013/04/19,02,07,08,11,14,23,31,05,15,0,15,218,9957,147796,252702,0,8717200,839700,10700,1700,900,646583065,2884697700
4,2013/04/26,12,13,22,23,24,28,29,02,14,0,6,132,7217,127060,217162,0,22730100,1446400,15500,2100,1100,1055636845,3008726400
5,2013/05/03,01,03,04,05,16,21,28,22,31,0,13,217,10451,163965,239669,0,11525600,966600,11700,1800,1100,1502479900,3305505900
6,2013/05/10,05,15,19,23,30,34,35,06,25,0,13,166,9111,158890,271441,0,12174300,1334700,14200,2000,1000,1975256125,3491554500
7,2013/05/17,01,03,05,07,27,29,33,06,15,3,18,209,10300,164712,287966,800000000,8835900,1065300,12600,1900,1000,41801960,3508752300
8,2013/05/24,02,21,28,29,30,32,36,06,08,0,4,98,5628,98454,201752,0,28966000,1655100,16900,2300,1000,390672500,2556097200
9,2013/05/31,03,04,15,23,27,30,36,13,35,2,4,201,8281,129548,213199,380111200,30883600,860400,12200,1900,1000,0,2725318200
10,2013/06/07,01,02,03,06,24,28,30,16,20,0,4,147,6861,113261,166137,0,26389000,1005200,12600,1800,1100,321524240,2328697200
11,2013/06/14,09,15,26,29,32,34,36,14,35,1,6,138,6700,112138,211430,707670400,20977400,1276800,15400,2200,1000,0,2776716900
12,2013/06/21,11,12,14,19,26,27,33,24,32,1,9,198,7888,111522,167040,296535200,11274500,717400,10500,1800,1100,0,2238574500
13,2013/06/28,06,10,16,21,27,28,35,15,34,0,8,116,6420,102857,180788,0,12556800,1212300,12800,1900,1000,297797015,2216156700
14,2013/07/05,04,07,08,09,24,28,30,34,36,2,16,206,9151,138034,208315,316971200,7259000,789300,10400,1700,1000,0,2562285300
15,2013/07/12,02,10,14,17,23,25,35,08,29,2,10,112,5732,92282,176674,139246400,9268900,1158600,13200,2000,900,0,2044840200
16,2013/07/19,05,06,09,13,16,21,23,08,34,1,4,105,4943,83727,151462,259314500,21862000,1165900,14500,2100,1000,0,1929209400
17,2013/07/26,02,03,05,22,34,36,37,07,15,0,4,90,4666,77221,169662,0,20977700,1305200,14700,2200,800,257444175,1851175500
